Wellington Phoenix FC,Hyundai A-League,Australia,1.5
Trenkwalder Admira,A. Bundesliga,Austria,1.5
FK Austria Wien,A. Bundesliga,Austria,3
FC Wacker Innsbruck,A. Bundesliga,Austria,1.5
Kapfenberger SV 1919,A. Bundesliga,Austria,1.5
FC Red Bull Salzburg,A. Bundesliga,Austria,3.5
SK Rapid Wien,A. Bundesliga,Austria,3
SK Sturm Graz,A. Bundesliga,Austria,3
SV Mattersburg,A. Bundesliga,Austria,1
SV Ried,A. Bundesliga,Austria,2
SC Wiener Neustadt,A. Bundesliga,Austria,1
Beerschot AC,Pro League,Belgia,3
Cercle Brugge K.S.V.,Pro League,Belgia,2.5
Club Brugge K.V.,Pro League,Belgia,3.5
K.A.A. Gent,Pro League,Belgia,3.5
K.R.C. Genk,Pro League,Belgia,3.5
K.V. Kortrijk,Pro League,Belgia,2.5
K.V. Mechelen,Pro League,Belgia,3
K.V.C. Westerlo,Pro League,Belgia,2.5
Lierse S.K.,Pro League,Belgia,2.5
Oud-Heverlee Leuven (OHL),Pro League,Belgia,2
R.A.E.C. Mons,Pro League,Belgia,2.5
R.S.C. Anderlecht,Pro League,Belgia,3.5
K. Sint-Truidense V.V.,Pro League,Belgia,2.5
K.S.C. Lokeren Oost-Vlaanderen,Pro League,Belgia,3
Standard Liège,Pro League,Belgia,3.5
S.V. Zulte Waregem,Pro League,Belgia,2.5
A. Goiânia (Atlético Clube Goianiense),Liga do Brasil,Brazylia,3
A. Minas G. (América Futebol Clube MG),Liga do Brasil,Brazylia,3
A. Florianópolis (Avaí Futebol Clube),Liga do Brasil,Brazylia,3
Clube Atlético Mineiro,Liga do Brasil,Brazylia,3.5
Clube Atlético Paranaense,Liga do Brasil,Brazylia,3.5
Esporte Clube Bahia,Liga do Brasil,Brazylia,3.5
Botafogo de Futebol e Regatas,Liga do Brasil,Brazylia,3.5
Ceará Sporting Club Nordeste,Liga do Brasil,Brazylia,3.5
Sport Club Corinthians Paulista,Liga do Brasil,Brazylia,4
Coritiba Foot Ball Club,Liga do Brasil,Brazylia,3.5
Cruzeiro Esporte Clube,Liga do Brasil,Brazylia,4
Clube de Regatas do Flamengo,Liga do Brasil,Brazylia,4
Fluminense Football Club,Liga do Brasil,Brazylia,4
Grêmio Foot-Ball Porto Alegrense,Liga do Brasil,Brazylia,3.5
Sport Club Internacional Porto Alegre,Liga do Brasil,Brazylia,4
Sociedade Esportiva Palmeiras,Liga do Brasil,Brazylia,4
Santa Catarina (Figueirense Futebol Clube),Liga do Brasil,Brazylia,3
Santos FC,Liga do Brasil,Brazylia,4
São Paulo FC,Liga do Brasil,Brazylia,4
CR Vasco da Gama,Liga do Brasil,Brazylia,3.5
Aalborg Boldspilklub,Superliga,Dania,3
Aarhus Gymnastikforening,Superliga,Dania,2.5
AC Horsens,Superliga,Dania,2.5
Brøndby IF,Superliga,Dania,3
F.C. København,Superliga,Dania,3.5
FC Midtjylland,Superliga,Dania,2.5
FC Nordsjælland,Superliga,Dania,1.5
HB Køge,Superliga,Dania,1
Lyngby Boldklub,Superliga,Dania,1.5
Odense Boldklub,Superliga,Dania,3
Silkeborg IF,Superliga,Dania,2.5
SønderjyskE,Superliga,Dania,1.5
Arsenal F.C.,Barclays Premier League,Anglia,5
Aston Villa F.C.,Barclays Premier League,Anglia,4
Blackburn Rovers F.C.,Barclays Premier League,Anglia,4
Bolton Wanderers F.C.,Barclays Premier League,Anglia,4
Chelsea F.C.,Barclays Premier League,Anglia,5
Everton F.C.,Barclays Premier League,Anglia,4
Fulham F.C.,Barclays Premier League,Anglia,4.5
Liverpool F.C.,Barclays Premier League,Anglia,4.5
Manchester City F.C.,Barclays Premier League,Anglia,5
Manchester United F.C.,Barclays Premier League,Anglia,5
Newcastle United F.C.,Barclays Premier League,Anglia,4
Norwich City F.C.,Barclays Premier League,Anglia,3.5
Queens Park Rangers F.C. (QPR),Barclays Premier League,Anglia,3.5
Stoke City F.C.,Barclays Premier League,Anglia,4
Sunderland A.F.C.,Barclays Premier League,Anglia,4
Swansea City A.F.C.,Barclays Premier League,Anglia,3.5
Tottenham Hotspur F.C.,Barclays Premier League,Anglia,5
West Bromwich Albion F.C.,Barclays Premier League,Anglia,4
Wigan Athletic F.C.,Barclays Premier League,Anglia,3.5
Wolverhampton Wanderers F.C.,Barclays Premier League,Anglia,3.5
Barnsley F.C.,Npower Championship,Anglia,2.5
Birmingham City F.C.,Npower Championship,Anglia,3.5
Blackpool F.C.,Npower Championship,Anglia,3
Brighton & Hove Albion F.C.,Npower Championship,Anglia,2.5
Bristol City F.C.,Npower Championship,Anglia,3
Burnley F.C.,Npower Championship,Anglia,3
Cardiff City F.C.,Npower Championship,Anglia,3
Coventry City F.C.,Npower Championship,Anglia,2.5
Crystal Palace F.C.,Npower Championship,Anglia,3
Derby County F.C.,Npower Championship,Anglia,3
Doncaster Rovers F.C.,Npower Championship,Anglia,2.5
Hull City A.F.C.,Npower Championship,Anglia,3
Ipswich Town F.C.,Npower Championship,Anglia,3
Leeds United A.F.C.,Npower Championship,Anglia,3
Leicester City F.C.,Npower Championship,Anglia,3.5
Middlesbrough F.C.,Npower Championship,Anglia,3
Millwall F.C.,Npower Championship,Anglia,3
Nottingham Forest F.C.,Npower Championship,Anglia,3.5
Peterborough United F.C.,Npower Championship,Anglia,2
Portsmouth F.C.,Npower Championship,Anglia,3
Reading F.C.,Npower Championship,Anglia,3
Southampton F.C.,Npower Championship,Anglia,3
Watford F.C.,Npower Championship,Anglia,3
West Ham United F.C.,Npower Championship,Anglia,3.5
A.F.C. Bournemouth,Npower League 1,Anglia,1.5
Brentford F.C.,Npower League 1,Anglia,2
Bury F.C.,Npower League 1,Anglia,1.5
Carlisle United F.C.,Npower League 1,Anglia,1.5
Charlton Athletic F.C.,Npower League 1,Anglia,2.5
Chesterfield F.C.,Npower League 1,Anglia,1.5
Colchester United F.C.,Npower League 1,Anglia,2
Exeter City F.C.,Npower League 1,Anglia,1.5
Hartlepool United F.C.,Npower League 1,Anglia,1.5
Huddersfield Town F.C.,Npower League 1,Anglia,2.5
Leyton Orient F.C.,Npower League 1,Anglia,1.5
Milton Keynes Dons F.C.,Npower League 1,Anglia,2
Notts County F.C.,Npower League 1,Anglia,1.5
Oldham Athletic A.F.C.,Npower League 1,Anglia,1.5
Preston North End F.C.,Npower League 1,Anglia,2.5
Rochdale A.F.C.,Npower League 1,Anglia,1.5
Scunthorpe United F.C.,Npower League 1,Anglia,2
Sheffield United F.C.,Npower League 1,Anglia,2.5
Sheffield Wednesday F.C.,Npower League 1,Anglia,2.5
Stevenage F.C.,Npower League 1,Anglia,1
Tranmere Rovers F.C.,Npower League 1,Anglia,1.5
Walsall F.C.,Npower League 1,Anglia,1
Wycombe Wanderers F.C.,Npower League 1,Anglia,1.5
Yeovil Town F.C.,Npower League 1,Anglia,1.5
Accrington Stanley F.C.,Npower League 1,Anglia,1
AFC Wimbledon,Npower League 1,Anglia,0.5
Aldershot Town F.C.,Npower League 1,Anglia,1
Barnet F.C.,Npower League 1,Anglia,1
Bradford City A.F.C.,Npower League 1,Anglia,1.5
Bristol Rovers F.C.,Npower League 1,Anglia,1
Burton Albion F.C.,Npower League 1,Anglia,1
Cheltenham Town F.C.,Npower League 1,Anglia,1
Crawley Town F.C.,Npower League 1,Anglia,1.5
Crewe Alexandra F.C.,Npower League 1,Anglia,0.5
Dagenham & Redbridge F.C.,Npower League 1,Anglia,1
Gillingham F.C.,Npower League 1,Anglia,1
Hereford United F.C.,Npower League 1,Anglia,1
Macclesfield Town F.C.,Npower League 1,Anglia,0.5
Morecambe F.C.,Npower League 1,Anglia,1
Northampton Town F.C.,Npower League 1,Anglia,1
Oxford United F.C.,Npower League 1,Anglia,1
Plymouth Argyle F.C.,Npower League 1,Anglia,1
Port Vale F.C.,Npower League 1,Anglia,1.5
Rotherham United F.C.,Npower League 1,Anglia,1.5
Shrewsbury Town F.C.,Npower League 1,Anglia,1.5
Southend United F.C.,Npower League 1,Anglia,1
Swindon Town F.C.,Npower League 1,Anglia,1
Torquay United F.C.,Npower League 1,Anglia,1
AC Ajaccio,Ligue 1,Francja,3
AC Auxerre,Ligue 1,Francja,3.5
AC Nancy,Ligue 1,Francja,3.5
FC Girondins de Bordeaux,Ligue 1,Francja,4
Dijon FCO,Ligue 1,Francja,3
Evian Thonon Gaillard F.C.,Ligue 1,Francja,3.5
FC Lorient,Ligue 1,Francja,3.5
FC Sochaux-Montbéliard,Ligue 1,Francja,3.5
Lille OSC,Ligue 1,Francja,4.5
Olympique de Marseille,Ligue 1,Francja,4.5
Montpellier HSC,Ligue 1,Francja,4
OGC Nice,Ligue 1,Francja,3.5
Olympique Lyonnais (Lyon),Ligue 1,Francja,4.5
Paris Saint-Germain F.C. (PSG),Ligue 1,Francja,4.5
AS Saint-Étienne,Ligue 1,Francja,4
Stade Malherbe Caen (SM Caen),Ligue 1,Francja,3.5
Stade Brestois 29 (Stade Brest),Ligue 1,Francja,3.5
Stade Rennais F.C.,Ligue 1,Francja,4
Toulouse FC,Ligue 1,Francja,4
Valenciennes FC,Ligue 1,Francja,3.5
